gene,condition,activation_coef_rank,polarization_coef_rank,is_known_polarization_reg
GALNT4,Stim8hr,0.6882322975038206,0.1686194600101885,False
GALNT6,Rest,0.4104769351055512,0.7886369559551734,False
GALNT6,Stim48hr,0.5209424083769634,0.4696335078534031,False
GALNT6,Stim8hr,0.7096281202241467,0.5348955680081507,False
GALR2,Rest,0.9119103466249674,0.727130570758405,False
GALR2,Stim48hr,0.4926701570680628,0.0845549738219895,False
GALR2,Stim8hr,0.6869587366276108,0.4589913397860418,False
GANAB,Rest,0.9637737816002084,0.5590304925723222,False
GANAB,Stim48hr,0.6748691099476439,0.2327225130890052,False
GANAB,Stim8hr,0.2264391237901171,0.1255731023942944,False
GAPDH,Stim8hr,0.977330616403464,0.9686704024452368,False
GAREM1,Rest,0.870471722700026,0.4141256189731561,False
GAREM1,Stim48hr,0.4539267015706806,0.5819371727748691,False
GAREM1,Stim8hr,0.3349465104431992,0.1436576668364748,False
GARS,Rest,0.5215011727912432,0.292415949960907,False
GARS,Stim48hr,0.6628272251308901,0.2049738219895288,False
GARS,Stim8hr,0.3741721854304636,0.5,False
GART,Rest,0.6653635652853792,0.509252019807141,False
GART,Stim48hr,0.5680628272251309,0.8646596858638743,False
GART,Stim8hr,0.5733571064696893,0.6721854304635762,False
GAS2L1,Rest,0.9442272608808964,0.6901224915298411,False
GAS2L1,Stim48hr,0.1340314136125654,0.5507853403141362,False
GAS2L1,Stim8hr,0.2177789098318899,0.4258787570045848,False
GAS6,Rest,0.9429241594996092,0.3739900964295022,False
GAS6,Stim48hr,0.7013089005235602,0.556020942408377,False
GAS6,Stim8hr,0.9281711665817626,0.325776872134488,False
GATA2,Stim48hr,0.3672774869109947,0.8777486910994764,False
GATA2,Stim8hr,0.7200713194090678,0.380030565461029,False
GATA3,Rest,0.7782121449048736,0.9997393797237424,True
GATA3,Stim48hr,0.7445026178010471,0.8390052356020943,True
GATA3,Stim8hr,0.2564951604686704,0.9961793173713704,True
GATA4,Rest,0.6807401615845713,0.527234818868908,False
GATA4,Stim48hr,0.1426701570680628,0.4287958115183246,False
GATA4,Stim8hr,0.1528273051451859,0.3591441670911869,False
GATAD1,Rest,0.9593432369038312,0.4037008079228564,False
GATAD1,Stim48hr,0.7981675392670157,0.5832460732984294,False
GATAD1,Stim8hr,0.2131940906775344,0.1469689251146204,False
GATAD2B,Rest,0.436799583007558,0.4039614281991139,False
GATAD2B,Stim48hr,0.5408376963350785,0.8730366492146597,False
GATAD2B,Stim8hr,0.8624554253693326,0.9470198675496688,False
GATB,Rest,0.3440187646598905,0.3051863434975241,False
GATB,Stim48hr,0.6698952879581151,0.3212041884816753,False
GATB,Stim8hr,0.6321956189505858,0.5822720326031584,False
GBA,Rest,0.3739900964295022,0.4469637737816002,False
GBA,Stim48hr,0.5384816753926701,0.687434554973822,False
GBA,Stim8hr,0.0056036678553234,0.3064187468160978,False
GBA2,Rest,0.6046390409173834,0.7534532186604118,False
GBA2,Stim48hr,0.6840314136125655,0.0206806282722513,False
GBA2,Stim8hr,0.3685685175751401,0.0132450331125827,False
GBX2,Rest,0.7758665624185561,0.7258274693771175,False
GBX2,Stim48hr,0.631413612565445,0.6447643979057591,False
GBX2,Stim8hr,0.1632705043301069,0.5690269994905757,False
GCC1,Rest,0.6387802971071149,0.8610893927547563,False
